Date;Filière;Valeur (TWh);Nature
2002-04;"Hydraulique";4,293;Données Consolidées
2002-05;"Hydraulique";6,069;Données Consolidées
2002-06;"Hydraulique";6,23;Données Consolidées
2002-07;"Hydraulique";4,82;Données Consolidées
2002-08;"Hydraulique";4,775;Données Consolidées
2002-09;"Hydraulique";4,765;Données Consolidées
2002-10;"Hydraulique";5,624;Données Consolidées
2002-11;"Hydraulique";6,799;Données Consolidées
2002-12;"Hydraulique";7,694;Données Consolidées
2003-01;"Hydraulique";8,451;Données Consolidées
2003-02;"Hydraulique";7,303;Données Consolidées
2003-03;"Hydraulique";6,424;Données Consolidées
2003-04;"Hydraulique";5,001;Données Consolidées
2003-05;"Hydraulique";5,743;Données Consolidées
2003-06;"Hydraulique";5,384;Données Consolidées
2003-07;"Hydraulique";3,957;Données Consolidées
2003-08;"Hydraulique";3,699;Données Consolidées
2003-09;"Hydraulique";3,429;Données Consolidées
2003-10;"Hydraulique";4,832;Données Consolidées
2003-11;"Hydraulique";4,539;Données Consolidées
2003-12;"Hydraulique";5,565;Données Consolidées
2004-01;"Hydraulique";7,034;Données Consolidées
2004-02;"Hydraulique";6,317;Données Consolidées
2004-03;"Hydraulique";6,625;Données Consolidées
2004-04;"Hydraulique";5,546;Données Consolidées
2004-05;"Hydraulique";6,548;Données Consolidées
2004-06;"Hydraulique";6,087;Données Consolidées
2004-07;"Hydraulique";4,838;Données Consolidées
2004-08;"Hydraulique";4,273;Données Consolidées
2004-09;"Hydraulique";3,858;Données Consolidées
2004-10;"Hydraulique";4,171;Données Consolidées
2004-11;"Hydraulique";4,341;Données Consolidées
2004-12;"Hydraulique";4,733;Données Consolidées
2005-01;"Hydraulique";5,022;Données Consolidées
2005-02;"Hydraulique";5,366;Données Consolidées
2005-03;"Hydraulique";5,078;Données Consolidées
2005-04;"Hydraulique";6,012;Données Consolidées
2005-05;"Hydraulique";6,212;Données Consolidées
2005-06;"Hydraulique";4,956;Données Consolidées
2005-07;"Hydraulique";4,111;Données Consolidées
2005-08;"Hydraulique";3,633;Données Consolidées
2005-09;"Hydraulique";3,861;Données Consolidées
2005-10;"Hydraulique";3,752;Données Consolidées
2005-11;"Hydraulique";3,863;Données Consolidées
2005-12;"Hydraulique";4,313;Données Consolidées
2006-01;"Hydraulique";4,21;Données Consolidées
2006-02;"Hydraulique";4,574;Données Consolidées
2006-03;"Hydraulique";6,548;Données Consolidées
2006-04;"Hydraulique";6,968;Données Consolidées
2006-05;"Hydraulique";6,719;Données Consolidées
2006-06;"Hydraulique";5,092;Données Consolidées
2006-07;"Hydraulique";4,386;Données Consolidées
2006-08;"Hydraulique";3,954;Données Consolidées
2006-09;"Hydraulique";4,298;Données Consolidées
2006-10;"Hydraulique";4,994;Données Consolidées
2006-11;"Hydraulique";4,084;Données Consolidées
2006-12;"Hydraulique";5,16;Données Consolidées
2007-01;"Hydraulique";5,366;Données Consolidées
2007-02;"Hydraulique";5,535;Données Consolidées
2007-03;"Hydraulique";6,759;Données Consolidées
2007-04;"Hydraulique";5,331;Données Consolidées
2007-05;"Hydraulique";6,046;Données Consolidées
2007-06;"Hydraulique";7,209;Données Consolidées
2007-07;"Hydraulique";6,147;Données Consolidées
2007-08;"Hydraulique";5,077;Données Consolidées
2007-09;"Hydraulique";3,968;Données Consolidées
2007-10;"Hydraulique";3,898;Données Consolidées
2007-11;"Hydraulique";3,351;Données Consolidées
2007-12;"Hydraulique";4,591;Données Consolidées
2008-01;"Hydraulique";6,038;Données Consolidées
2008-02;"Hydraulique";4,419;Données Consolidées
2008-03;"Hydraulique";5,528;Données Consolidées
2008-04;"Hydraulique";6,986;Données Consolidées
2008-05;"Hydraulique";7,168;Données Consolidées
2008-06;"Hydraulique";8,313;Données Consolidées
2008-07;"Hydraulique";5,981;Données Consolidées
2008-08;"Hydraulique";4,248;Données Consolidées
2008-09;"Hydraulique";4,832;Données Consolidées
2008-10;"Hydraulique";3,749;Données Consolidées
2008-11;"Hydraulique";5,101;Données Consolidées
2008-12;"Hydraulique";5,633;Données Consolidées
2009-01;"Hydraulique";6,08;Données Consolidées
